BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
1,EMPTY,EMPTY,BEES,FAILED,FAILED,GRACKLE,Tree Swallows,GRACKLE,Failed,Starling,Starling,Grackles,0,0,0,3,3,12,
2,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,BEES,STARLING,FAILED,Grackles,KESTREL,Starling,Empty,3,16.7,1,1,2,12,
3,EMPTY,FAIL,FAILED,EMPTY,EMPTY,KESTREL,KESTREL,EMPTY,mice,mice,Starling,Down,7,36.4,2,2,4,11,
4,EMPTY,EMPTY,SQUIRREL,KESTREL,EMPTY,EMPTY-MOVED,FAILED,EMPTY,Failed,Failed,Failed,Failed,0,0,0,5,5,12,
5,EMPTY,EMPTY,FAILED,KESTREL,FAILED,STARLING,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,Empty,21,41.6,5,2,7,12,
6,EMPTY,EMPTY,FAILED,KESTREL,FAILED,EMPTY,BEES,FAILED,Empty,grackle,Empty,Empty,0,0,0,3,3,12,
7,EMPTY,EMPTY,FAILED,SQUIRREL,FAILED,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,15,88.7,6,3,9,12,
8,EMPTY,GRACKLE,EMPTY,FAILED,KESTREL,FAILED,FAILED,EMPTY,Grackles,KESTREL,KESTREL,KESTREL,8,57.1,4,3,7,12,
9,EMPTY,FAIL,FAILED,EMPTY,FAILED,FAILED,Empty,EMPTY,Empty,empty,KESTREL,Empty,4,20,1,4,5,12,
10,EMPTY,GRACKLE,GRACKLE,GRACKLE,FAILED,GRACKLE,Empty,FAILED,KESTREL,grackle,Starling,Empty,4,33.4,1,2,3,12,
11,EMPTY,EMPTY,EMPTY,EMPTY,BEES,FAILED,Empty,GRACKLE,KESTREL,KESTREL,KESTREL,Failed,9,60,3,2,5,12,
12,EMPTY,EMPTY,MOVE,DOWN,DOWN,MOVED,FAILED,EMPTY,Empty,empty,Failed,Failed,0,0,0,3,3,8,
13,EMPTY,GRACKLE,EMPTY,KESTREL,FAILED,GRACKLE,Empty,FAILED,Empty,down,Empty,Empty,0,0,0,2,2,12,
14,EMPTY,KESTREL ,KESTREL,EMPTY,FAILED,KESTREL,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,Empty,29,77.8,7,2,9,12,
15,GRACKLE,FAIL,EMPTY,EMPTY,GRACKLE,GRACKLE,STARLING,GRACKLE,Grackles,Starling,Failed,Empty,0,0,0,2,2,12,
16,EMPTY,EMPTY,FAILED,KESTREL,FAILED,MOVED,FAILED,GRACKLE,KESTREL,grackle,Empty,Empty,5,25,1,3,4,11,
17,EMPTY,STARLING,EMPTY,FAILED,EMPTY,GRACKLE,FAILED,FAILED,Empty,Failed,Empty,Empty,0,0,0,4,4,12,
18,EMPTY,EMPTY,EMPTY,EMPTY,GRACKLE,KESTREL,KESTREL,KESTREL,Empty,empty,Empty,Empty,13,100,3,0,3,12,
19,EMPTY,TREE SWALLOW,SQUIRREL,STARLING,GRACKLE,GRACKLE,STARLING,GRACKLE,Grackles,grackle,Empty,Empty,0,0,0,0,0,12,
20,EMPTY,GRACKLE,EMPTY,EMPTY,EMPTY,MOVED,FAILED,FAILED,Failed,Failed,Empty,Empty,0,0,0,4,4,11,
21,EMPTY,KESTREL ,FAILED,EMPTY,FAILED,EMPTY,FAILED,KESTREL,KESTREL,KESTREL,Fledged,KESTREL,13,66.7,6,3,9,12,
22,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,FAILED,GRACKLE,FLEDGED,Fledged,Starling,Fledged,KESTREL,2,80,4,1,5,12,
23,EMPTY,FAIL,EMPTY,FAILED,FAILED,FAILED,FAILED,GRACKLE,KESTREL,grackle,Starling,Empty,3,16.7,1,5,6,12,
24,FAIL,KESTREL ,FAILED,KESTREL,KESTREL,KESTREL,FAILED,FAILED,Failed,KESTREL,Empty,Failed,14,45.5,5,6,11,12,
25,EMPTY,GRACKLE,GRACKLE,EMPTY,GRACKLE,FAILED,FAILED,GRACKLE,Grackles,Failed,Starling,Empty,0,0,0,3,3,12,
26,EMPTY,EMPTY,FAILED,EMPTY,EMPTY,GRACKLE,KESTREL,KESTREL,Failed,KESTREL,Empty,Empty,10,66.7,3,2,5,12,
27,EMPTY,FAIL,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,empty,Empty,Empty,16,75,6,2,8,12,
28,EMPTY,FAIL,EMPTY,ANTS,FAILED,MICE,MICE,EMPTY,KESTREL,empty,Empty,Empty,4,33.4,1,2,3,12,
29,GRACKLE,STARLING,KESTREL,KESTREL,FAILED,EMPTY,MICE,BROKEN,Down,empty,Starling,Failed,0,50,2,2,4,10,
30,STARLING,GRACKLE,KESTREL,KESTREL,DOWN,MOVED,KESTREL,KESTREL,KESTREL,KESTREL,Failed,Failed,23,75,6,2,8,10,
31,EMPTY,EMPTY,EMPTY,KESTREL,EMPTY,FAILED,Empty,EMPTY,Empty,Ant,Failed,Failed,0,0,0,3,3,12,
